id;the_geom;name;type
nature.1;MULTIPOLYGON (((5.44367802810633 43.51827021308096, 5.444192591600834 43.518286237139215, 5.444423827630095 43.518110967289296, 5.4444345362174005 43.51792883068536, 5.44458155360742 43.51793340822236, 5.444660416241075 43.51784462859347, 5.444719307769167 43.516842876869426, 5.444577646849949 43.51674723126445, 5.444625830328246 43.51592761615136, 5.444510940313201 43.5153766287606, 5.44457518263103 43.514283808390665, 5.444376084475965 43.513912669025075, 5.444155573094794 43.51390580275519, 5.443945770274916 43.513716799419186, 5.443725259710043 43.5137099323439, 5.443667820064126 43.5134344383339, 5.44337380745454 43.513425281471555, 5.443305659443606 43.51333192387344, 5.442938144470013 43.51332047653491, 5.442869997256611 43.51322711870255, 5.442649488732522 43.51322024961381, 5.442491770456258 43.51339780635753, 5.442464988425437 43.51385314725281, 5.442533135640258 43.51394650532154, 5.442494152067474 43.515861226650806, 5.442562301390504 43.515954584755335, 5.442429868657614 43.51695404424689, 5.4424980190011 43.517047402414505, 5.442534027509649 43.5176871693014, 5.442670330236226 43.517873885526335, 5.442817347210975 43.517878465327186, 5.442880142498707 43.51806289145678, 5.443247686231538 43.51807433997013, 5.4433158390208956 43.51816769772171, 5.443609874638023 43.518176855523734, 5.44367802810633 43.51827021308096)));nature0;4
nature.2;MULTIPOLYGON (((5.451917892695065 43.5221759331899, 5.452285465002321 43.52218735350592, 5.452590208582211 43.52201435082411, 5.452737237193975 43.52201891821406, 5.452816093934174 43.52193013277087, 5.452963122377417 43.521934699863344, 5.4534309152398395 43.521493054353144, 5.453563181679347 43.52049357681358, 5.453227668104268 43.5199357461476, 5.4524190385594915 43.51991062758907, 5.4523401840822245 43.51999941285398, 5.451972625035905 43.51998799316869, 5.451667890392119 43.520160994541975, 5.45151017835975 43.52033856386515, 5.451372534147548 43.5214291068238, 5.451776207846147 43.52208029577094, 5.451917892695065 43.5221759331899)));nature1;3
nature.3;MULTIPOLYGON (((5.443955999135299 43.51855257471748, 5.444691093621377 43.518575463852336, 5.444933036627942 43.51821805629435, 5.444997277698039 43.51712523596776, 5.44486632256811 43.51684745394977, 5.444909149103577 43.51611890697483, 5.444840995894998 43.51602555014257, 5.4448317286286745 43.51493044109332, 5.444763576763282 43.514837084249464, 5.444827813312778 43.513744263476205, 5.4446861591564275 43.51364861820874, 5.444623362001004 43.51346419292573, 5.444476355454047 43.513459615814945, 5.444408205661866 43.513366258815616, 5.444040690039555 43.51335481501379, 5.4439725410449045 43.513261457780196, 5.443752032131547 43.513254590813474, 5.443683883696926 43.51316123342546, 5.443389872408539 43.51315207664997, 5.443321724652694 43.51305871906761, 5.442954211330587 43.513047271837664, 5.442886064372264 43.51295391402106, 5.442665556839061 43.51294704499748, 5.442597410440757 43.51285368702648, 5.44245040569938 43.512849107361816, 5.442292687895834 43.51302666385296, 5.442249834505638 43.51375520915131, 5.442317981279168 43.51384856733455, 5.442259056182278 43.514850316970204, 5.44232720409489 43.51494367517659, 5.442278991160142 43.51576328838356, 5.442347140041834 43.5158566466026, 5.442256067067945 43.51740480453319, 5.442313502825101 43.517680299006855, 5.442512598982209 43.518051441764335, 5.442733125066147 43.51805831172129, 5.442795920244911 43.51824273789011, 5.443089956060275 43.51825189704169, 5.443158108782174 43.51834525488364, 5.4435991634774865 43.51835899195653, 5.443667317115905 43.518452349524246, 5.443887844936704 43.5184592173042, 5.443955999135299 43.51855257471748)));nature2;3
nature.4;MULTIPOLYGON (((5.463037781778427 43.51212009511507, 5.465316382555022 43.512190647509506, 5.465395207617938 43.512101852174794, 5.465111838711243 43.51191061052783, 5.4649754771681565 43.51172391903297, 5.46416694699133 43.51169888730176, 5.464098767831304 43.51160554106264, 5.462849225259033 43.511566843757294, 5.462781048320793 43.51147349680415, 5.461972523404482 43.51144844966969, 5.46168916880747 43.511257199982836, 5.460660142166297 43.51122531112037, 5.460591969044614 43.51113196298425, 5.459562945752402 43.51110006432004, 5.459494774496434 43.51100671558987, 5.458980264314093 43.510990762512236, 5.45890143166997 43.51107955315536, 5.459043103710406 43.5111751813773, 5.459027110474513 43.51144839093124, 5.459163452617219 43.511635088888504, 5.459898475257647 43.511657877381836, 5.459966647821864 43.51175122590888, 5.460260657593948 43.51176033982605, 5.460328830836857 43.511853688158546, 5.461798884137305 43.51189924562779, 5.461867059958219 43.511992593126486, 5.46296960397306 43.512026748250456, 5.463037781778427 43.51212009511507)));nature3;1
nature.5;MULTIPOLYGON (((5.442941093296751 43.51076598647269, 5.443245802279908 43.5105930074014, 5.4431041578151 43.51049736046889, 5.443114867526192 43.51031522388302, 5.443849861359427 43.510338114992564, 5.443928714397351 43.51024933546866, 5.444516709275113 43.5102676445263, 5.444595561264969 43.51017886450368, 5.444963057837395 43.51019030586037, 5.4450419090834865 43.51010152550223, 5.445262406826372 43.510108389587266, 5.445241000374364 43.5104726636143, 5.445309148514066 43.510566020086316, 5.445387999793513 43.510477239493106, 5.4456084989870694 43.51048410295768, 5.445687349725618 43.510395322137725, 5.4460601984618116 43.51031569144505, 5.446291397321785 43.51014041637312, 5.44658539491732 43.51014956518592, 5.4466642437966035 43.5100607836221, 5.4468847417796615 43.51006764457347, 5.447042438219872 43.50989008092873, 5.447262935672038 43.50989694112944, 5.447499477645139 43.50963059469597, 5.447940470956757 43.50964431284547, 5.448019317199344 43.5095555302475, 5.448974802455784 43.509585246374705, 5.44911110894033 43.50977195517653, 5.449478604845507 43.509783381935186, 5.44956279410821 43.50960352926155, 5.44970979210766 43.50960809951175, 5.449851445566601 43.509703738545205, 5.449840756341456 43.509885876482954, 5.450124065389462 43.51007715411465, 5.450186876679895 43.51026157691638, 5.4505543759846855 43.51027300031929, 5.450790905478252 43.51000664662765, 5.4506545931925015 43.509819939641496, 5.450581093856072 43.509817655138484, 5.450591780829519 43.509635517052274, 5.4503873147958135 43.50935545622454, 5.450240317301463 43.50935088686641, 5.450182850596105 43.50907539508463, 5.450041197993777 43.50897975648676, 5.449910234515986 43.50870197974585, 5.449689740780345 43.50869512479948, 5.449479937017961 43.50850613152616, 5.449112448861497 43.50849470503757, 5.449044296826805 43.50840135068751, 5.448750306931893 43.50839220848825, 5.4486821555758 43.508298853943806, 5.448535160917575 43.50829428248145, 5.448472356378869 43.508109858963444, 5.448251865142651 43.50810300131822, 5.448173021264679 43.50819178417231, 5.447364552947801 43.50816663524456, 5.4472857077175 43.5082554174369, 5.447138713387496 43.508250844182896, 5.446986370464302 43.508337339450804, 5.446902175668713 43.50851719005213, 5.446608185895169 43.5085080423258, 5.446455841586857 43.50859453683367, 5.44637699446378 43.5086833183274, 5.44564201869255 43.50866044415205, 5.44556317031859 43.50874922503836, 5.444975189512445 43.508730921868306, 5.444817490431953 43.50890848258002, 5.444303006260402 43.50889246406953, 5.444224155655307 43.508981243949286, 5.443783168951179 43.508967511632314, 5.443630819645766 43.50905400218324, 5.443551967857538 43.5091427815551, 5.443620111957471 43.509236138911525, 5.443840606209423 43.50924300563021, 5.443919457727073 43.50915422605005, 5.444066453735421 43.50915880351799, 5.444055747317926 43.50934094032914, 5.44390875086927 43.509336362832265, 5.44382989908134 43.50942514239398, 5.443388909334338 43.509411408445416, 5.443399617783352 43.5092292717685, 5.443257976117575 43.509133625110444, 5.443026772903769 43.50930889389039, 5.443021418116342 43.509399962191665, 5.442659282452397 43.5092974464941, 5.442496219583288 43.50956607195138, 5.442706004135998 43.509755077409395, 5.4433674921355335 43.50977568177544, 5.443598696280121 43.509600412344284, 5.4440396875037305 43.509614145530996, 5.4443443875129764 43.509441163188654, 5.444711879509256 43.50945260519893, 5.444790730080004 43.50936382498458, 5.44501122507722 43.5093706894618, 5.445090075107101 43.50928190902067, 5.445310569877818 43.50928877291038, 5.445389419366834 43.50919999224252, 5.4464918928657315 43.50923430451011, 5.4465707405966555 43.509145522962896, 5.446938231687853 43.509156957756026, 5.447095925425656 43.50897939392704, 5.447389917642631 43.50898854047781, 5.447468763750949 43.5088997582504, 5.4474059619951865 43.50871533425187, 5.4474741117583925 43.50880868950119, 5.447768103267525 43.50881783505113, 5.447999291388785 43.50864255611296, 5.448146286806699 43.50864712829323, 5.448214437672 43.50874048313809, 5.448581926961493 43.508751912564044, 5.4486500786241185 43.50884526717463, 5.449017568723071 43.50885669522223, 5.449153873846739 43.50904340394014, 5.449300870421617 43.50904797466944, 5.44943717683521 43.509234683088934, 5.449426486539299 43.50941682095981, 5.449279489049247 43.5094122503613, 5.449143182770286 43.509225541761126, 5.44900153156053 43.50912990191927, 5.448854534834574 43.50912533079833, 5.448786382560656 43.50903197629177, 5.448418891490461 43.50902054746466, 5.448340046565754 43.50910933038977, 5.447531565855514 43.50908418222277, 5.447373873064744 43.5092617466859, 5.447079879526833 43.50925260004837, 5.4470010323708555 43.50934138196702, 5.446628190767136 43.50942101599511, 5.446396995726801 43.50959629189601, 5.446029502186068 43.509584855271825, 5.445871803716287 43.50976241744914, 5.445504309377241 43.509750979102364, 5.445425459280313 43.50983975982368, 5.44483746797583 43.509821455581935, 5.444758616830839 43.50991023580458, 5.444611618888299 43.50990565916387, 5.444532767303863 43.509994439214154, 5.444312270150591 43.50998757373629, 5.444233418025274 43.510076353559796, 5.443351428973237 43.51004888675214, 5.443272575394138 43.51013766585937, 5.442831580726559 43.51012392958307, 5.442448017982068 43.510385686081776, 5.442941093296751 43.51076598647269)));nature4;1
nature.6;MULTIPOLYGON (((5.44367609246122 43.510788878887176, 5.444411092490547 43.51081176658646, 5.444715797762139 43.51063878345352, 5.444862797500598 43.51064336002139, 5.444941649523828 43.51055457976373, 5.444873501977773 43.51046122309212, 5.444506003797323 43.51044978139115, 5.444427151300603 43.51053856133172, 5.443471655724442 43.51050880668543, 5.443392801672461 43.510597585855336, 5.443460947013921 43.51069094333573, 5.44360794667854 43.51069552152125, 5.44367609246122 43.510788878887176)));nature5;1
nature.7;MULTIPOLYGON (((5.443415680268883 43.508956066738236, 5.443568029607422 43.508869576475455, 5.443499885966262 43.50877621910012, 5.443347536780159 43.50886270927783, 5.443415680268883 43.508956066738236)));nature6;1
nature.8;MULTIPOLYGON (((5.443240447581861 43.510684075703836, 5.443387447194585 43.51068865417225, 5.443466301381714 43.510599875011586, 5.444421798388976 43.51062962975195, 5.4445006510208405 43.51054084982061, 5.444868149751714 43.51055229155775, 5.444936297382796 43.5106456482346, 5.44515679708126 43.51065251259132, 5.445314500079616 43.51047495157727, 5.445325203135559 43.51029281455326, 5.4455457016426765 43.510299678115885, 5.446002750314063 43.51004019822185, 5.445934601616015 43.509946842140586, 5.445567106132937 43.50993540395723, 5.445488255867179 43.510024184714524, 5.444900262732235 43.51000588073424, 5.444821411418406 43.51009466099283, 5.44438041632168 43.51008093070096, 5.444301564162656 43.51016971056961, 5.4439340679793204 43.510158267091136, 5.443855215076544 43.510247046624265, 5.442973223901444 43.51021957681385, 5.4427420155405 43.5103948448178, 5.4428101596433205 43.510488202646926, 5.44303065825918 43.51049507108412, 5.443240447581861 43.510684075703836)));nature7;2
nature.9;MULTIPOLYGON (((5.446155099009576 43.509953704484786, 5.446449095655313 43.50996285361694, 5.446533294071057 43.50978300350283, 5.446465144797049 43.509689647716755, 5.446386296153948 43.50977842915429, 5.446165799343098 43.50977156727784, 5.4460869501591125 43.509860348488616, 5.446155099009576 43.509953704484786)));nature8;2
nature.10;MULTIPOLYGON (((5.443440990845395 43.50977797091369, 5.443530551840134 43.50950705496683, 5.443824545479706 43.50951621077289, 5.443903397402777 43.50942743122038, 5.444197390774989 43.5094365860545, 5.444355093099969 43.50925902632358, 5.445016576867485 43.50927962096314, 5.4450847234269135 43.50937297752656, 5.445174276420424 43.50910205999887, 5.445321272502569 43.50910663584926, 5.445462917539594 43.50920228005708, 5.445541766690615 43.509113499271216, 5.446423744220661 43.5091409487156, 5.446654937359387 43.508965672686394, 5.446875431353641 43.50897253351889, 5.446954278172024 43.508883751672144, 5.447174771939728 43.508890611917145, 5.447253618217247 43.50880182984366, 5.447400613902706 43.50880640299583, 5.447710648258714 43.50854234240978, 5.448519121893907 43.508567489062415, 5.448597965805103 43.50847870597328, 5.448388166293894 43.50828971083049, 5.447947182630125 43.508275994746064, 5.447868338076198 43.508364777364235, 5.447353856818084 43.508348772739836, 5.446970324430839 43.5086105455704, 5.446823329289357 43.508605971881366, 5.44674448267345 43.50869475364699, 5.446450492088433 43.50868560548562, 5.446371644830237 43.508774386970124, 5.446077653977739 43.50876523783684, 5.445998806077252 43.50885401904024, 5.44541082397562 43.50883571807547, 5.445331975027114 43.5089244987802, 5.444890988205328 43.50891077075006, 5.444812138411674 43.508999551064896, 5.444591644813193 43.50899268625016, 5.444512794478682 43.50908146633824, 5.443924811118385 43.50906315765596, 5.443845959735871 43.509151937245356, 5.443404971970259 43.509138203427064, 5.443173769144865 43.50931347251887, 5.44287977669727 43.50930431507332, 5.4428009234893375 43.50939309387361, 5.44286906665704 43.50948645164493, 5.443163059985256 43.50949560914839, 5.4432312038316075 43.5095889667254, 5.443378200785067 43.509593545114406, 5.443440990845395 43.50977797091369)));nature9;2
